title,phone, location 
Foods By Likii,0721 837298,"Plot 343, Thindigua Estate,, "
Kenchic Ltd,+254 722 202163,"Off Enterprise Rd, Exsan Bldg, Opp. Kobil Petrol Station, Industrial Area, "
Top Food (EA) Ltd,+254722518831,"Kombo Munyiri Road, Gikomba, "
Unilever Kenya Ltd,+2546922000,"Ndege Road, Watermark Business Park, "
Anglo Danish (Foods) Ltd,+254722838959,"Ratna Square, Nyali, "
Farmer's Choice Ltd,+254722205698,"Kahawa Station Rd, Off Kamiti Rd, "
Flamingo Grain Millers Ltd,+254 720 621115,"Old Mombasa Rd, Nyoro Complex, "
Mumias Sugar Co. Ltd,+254202712317,"Kindaruma Rd, Top Plaza, Grnd Floo, "
Nzoia Sugar Company Ltd,+254727477777,"Bungoma/Webuye Rd, "
Nairobi Flour Millers Ltd,+254 710 731268,"Homabay Road, Industrial Area, "
Kabansora Millers Ltd,+254 20  6823570,"Off Airport North Rd, Kabansora Millers Ltd, "
Kitale Industries Ltd,+254 722 205767,"Maziwa Rd, Kitale, "
Kapa Oil Refineries Ltd,+254722515172,"Mombasa Road, Kapa Oil Refineries Ltd Bldg, "
Bidco Africa Ltd,+254722278777,"General Kago Road, Bidco Africa Ltd Bldg, "
Golden Africa (K) Ltd,+254720072873,"Mombasa Road, Liberty Plaza, 6th Flr, "
Menengai Oil Refineries Ltd,+254512211331,"Nakuru /Kisumu Highway, Menengai Oil Refineries Ltd Bldg, "
Pwani Oil Products,+254722207886,"Wahunzi St, Pwani Oil Products Ltd Bldg, "
PZ Cussons East Africa Ltd,+254 709 866000,"Baba Dogo Road, Off Outer Ring Road, Ruaraka, "
Alison Products (Kenya) Limited,+254 722 512387,"-, "
Baraka Flour Mills,+254 715 274865,"Changamwe Road, Baraka Mills, Industrial Area, "
Unga Limited,+254 20 3933000,"Commercial St, Unga Limited Premises, Industrial Area, "
C Dorman Ltd,020 2718834,"17 Milimani Rd, Milimani, "
Manji Food Industries Ltd,+254722203626," Lunga Lunga Rd, House of Manji, Industrial Area , "
Pembe Flour Mills Ltd,+254 20 2046407,"Pembe Flour Mills, Lunga Lunga Rd, Industrial Area, "
R H Devani Ltd,0705 187175,"Kitui Road, Off Kampala Road, Industrial Area, "
Tri Clover Industries (K) Ltd,+254 722 206598," Mombasa Rd, Opp. Alpha Centre, Triclover Indusries, "
United Millers Ltd,+254 724 303831,"Obote Rd, Industrial Area, "
Kibos Sugar & Allied Industries Ltd,+254725652555,"Kibos Rd, Near Kibos Prison, "
Green Garden Deli,+254713330693,"Haven court, Waiyaki way, Westlands, "
Agri Masters Posho,+254751633744,"Wabera Street, "
Jamatech Engineering Works,+254721846363,"Nairobi, "
Joeliz Bone Meal Ltd,+254733919467,"Lunga Lunga Road, Industrial Area, "
Mibisco Limited,+254731999940,"Isiolo Road, Industrial Area, "
B.D Engineers LTD,+254722519172,"Dundori Road, "
Kenafric Industries Ltd,+254 722 204095,"Off Baba Dogo Road, "
Patco Industries Ltd,+254722624867,"Off Lunga Lunga/Rangwe Rd, Industrial Area , "
The Wrigley Co (East Africa) Ltd,020 3952000,"Bamburi Rd, Off Enterprise Road, Industrial Area, "
Ingredion Holding LLC,+254703781519,"Mombasa Rd, Tulip Hse, 5th Floor, "
Golden Harvest Mills,+254 725 534200,"Mogadishu Road, Golden Harvest Mills Building, "
Premier Flour Mills Ltd,+254 20 6531313,"Mogadishu Road, Off Lunga Lunga Rd, Premier Flour Mills Building, Industrial Area, "
Maize Milling Co Ltd,+254 722 670628," Sirikwa St, Behind Central Bank, Maize Milling Co Ltd Bldg, "
New Italycor Ltd,+254722890031,"Valley Arcade Shopping Centre, Dhanjay Apartment, "
Weetabix East Africa Ltd,+254 700 330831,"Lunga Lunga Road, Weetabix East Africa Ltd Bldg, "
Osho Grain Millers Ltd,+254733627201,"Dakar Rd, Off Enterprise Rd, "
Maisha Flour Mills Ltd,+254 20 2085700,"Off Nairobi-Nanyuki Main Road, Near KCC Kiganjo Depot., "
Alpha Grain Millers,+254 734 445444,"North Airport Rd, Off Mombasa Rd, Alpha Grain Millers Premises, "
Prosoya Kenya Limited.,+254 706 561516," Clesoi Rd,Off Lunga Lunga Road, Prosoya Kenya Limited Building, Industrial Area, "
Uchumi Grain Millers EA Ltd,+254 20 2500262,"Mombasa Road, Mlolongo, "
Mombasa Maize Millers Ltd,+254 722 205216,"Mwangeka Road, "
Rafiki Millers Ltd,+254 733 515448,"Off Mombasa Road, Rafiki Millers Ltd Building, "
Eastern Flour Mills Ltd,+254 722 585570,"Bus Stage Rd, Off Machakos Wote Rd, Near Kisasi Furniture & Wood Products, Eastern Flour Mills premises, "
Kitui Flour Mills Limited,+254 41 2496004,"Miriambai Lane off Lumumba Road, "
Aberdare Maize Millers,+254 61 2030798,"Industria Building, "
McNeel Millers Ltd,+254 734 490800,"Off Garissa Road, Mcneel Millers Ltd Bldg , "
Capwell Industries Ltd,0713 303903,"Off Garisa Road, Makongeni, "
Propack Kenya Ltd,0722 235444,"Road 1, Off Baba Dogo Road, Ruaraka, "
Highland Creamers & Food Ltd,+254 796 332555,"Longonot Road, Embankment Plaza, 9th Floor, Upper Hill, "
Soy Afric Ltd,+254 20 2181018,"Jirore Road, Off Enterprise Road;, "
Greenforest Foods Ltd,+254 722 704823,"Off Airport South Road, #9 Emayian Godowns,, "
Pindu Trade (Kenya) Ltd,0729 998628,"Godown No 2, Raiply Godowns, Along Kyang'ombe Road, Off Mombasa Road, , "
Centrofoods Industries Ltd,0700 113104,"Next to Munene Industries, Kenyatta Highway,, "
